Fecha,Clics,Impresiones,CTR,Posición
2026-05-10,0,4,0%,2.8
2026-05-11,0,0,,
2026-05-12,1,22,4.55%,8.1
2026-05-13,1,84,1.19%,33.5
2026-05-14,3,46,6.52%,10.4
2026-05-15,1,96,1.04%,35.7
2026-05-16,0,38,0%,33.1
2026-05-17,3,47,6.38%,25.5
2026-05-18,1,74,1.35%,15.5
2026-05-19,8,281,2.85%,12.8
2026-05-20,17,421,4.04%,15.8
2026-05-21,0,40,0%,29.2
2026-05-22,0,18,0%,64.8
2026-05-23,0,12,0%,71.2
2026-05-24,0,9,0%,73.4
2026-05-25,0,9,0%,43.3
2026-05-26,0,15,0%,31.3
2026-05-27,0,10,0%,72.4
2026-05-28,0,12,0%,74.6
2026-05-29,0,14,0%,72.8
2026-05-30,0,11,0%,72.6
2026-05-31,0,9,0%,68.4
2026-06-01,1,6,16.67%,34.3
2026-06-02,0,11,0%,45.6
2026-06-03,0,5,0%,69.8
2026-06-04,0,3,0%,62
2026-06-05,0,1,0%,97
2026-06-06,0,0,,
2026-06-07,0,2,0%,93.5
2026-06-08,0,7,0%,63.7
2026-06-09,0,3,0%,47.3
2026-06-10,0,0,,
2026-06-11,0,14,0%,81.9
2026-06-12,0,12,0%,65.2
2026-06-13,0,11,0%,86
2026-06-14,0,12,0%,80
2026-06-15,1,14,7.14%,64
2026-06-16,0,10,0%,64.1
2026-06-17,0,13,0%,23.8
2026-06-18,0,13,0%,38.2
